date,demand_mwh,temp_min,temp_max,weekday,is_holiday,precipitation_mm,wind_speed_kmh
2014-01-01,330.07457106097894,12.132000315436548,22.279121214192603,2,0,0.49463947606141323,18.873662318799134
2014-01-02,346.9978853593788,12.689888017331395,22.84537264573786,3,0,1.2394836247012173,6.3965819890081
2014-01-03,342.66288748368305,12.764791201725359,25.08584964244396,4,0,4.420543278837615,12.971558480183255
2014-01-04,315.2341815262472,14.791435353424472,27.430031587006006,5,0,1.3738932811101177,36.56328481048308
2014-01-05,351.3651501000473,9.73174554069159,22.491971077433607,6,0,2.11569214361863,23.309163839384404
2014-01-06,356.98732034966787,11.334045950580615,20.135701203379064,0,0,4.775445187823111,33.54044362707894
2014-01-07,334.71060400997374,17.04651981153689,26.884384858580493,1,0,3.921754744205342,24.448993997671607
2014-01-08,343.4970019966375,16.03535019497179,26.04549224620866,2,0,4.589554001828089,38.02607334993062
2014-01-09,346.7495177987701,10.933875124960345,19.492369638786073,3,0,7.673809619145035,36.81969264448958
2014-01-10,331.0974655264826,15.743643559334881,26.111186442645483,4,0,4.229181154308026,21.901081470364065
2014-01-11,382.77655827040024,8.892438351722747,19.986730392410156,5,0,9.094408280822606,16.13959089027223
2014-01-12,360.9790573338623,7.856209951486308,21.26035173033472,6,0,6.283219952579443,26.05840755709636
2014-01-13,321.447135431498,10.124655204739517,24.20393022437399,0,0,2.156223767400816,28.621068858431574
2014-01-14,368.26538782605274,4.456460329833746,19.35043900454174,1,0,7.911124271961413,22.442428230522104
2014-01-15,358.0789556502133,6.7740265575850565,15.846477097936368,2,0,4.105025729670436,33.779912738328306
2014-01-16,342.80639155306267,9.827524804154859,22.509504857049993,3,0,7.109161962676029,11.416498262470897
2014-01-17,332.3259177953646,11.135096151720333,19.97122448466731,4,0,4.651705102269854,16.704414071841132
2014-01-18,323.86138026246715,13.207331723312988,22.60329708807256,5,0,10.600078952855942,29.023172507825855
2014-01-19,374.73021464610866,10.754727093720746,22.148265429138355,6,0,1.3239313899469816,13.633935288564505
2014-01-20,362.9945550534563,9.246213853273664,19.45165157297834,0,0,2.8904686925243173,20.394566063927186
2014-01-21,272.96404123508626,16.38704816627743,28.899550452426432,1,0,5.264569696247737,38.73067413199024
2014-01-22,353.15126975023355,14.328406393863617,21.957322938914533,2,0,3.7905270396831288,26.905659044030095
2014-01-23,346.0483494611382,15.150981006332723,23.946862387465472,3,0,1.5716044704248209,38.2170032124394
2014-01-24,345.907543768307,7.192784586647541,20.444760839347765,4,0,9.907323257103727,30.285449113700157
2014-01-25,348.0650138940101,15.201442083441787,21.968252738166683,5,0,3.218020661802013,30.36333693835105
2014-01-26,313.80639336457244,14.74671790415387,22.850758933720122,6,0,6.6499168863806215,25.715001079157197
2014-01-27,337.79960083031864,8.552507882690026,23.79915563902902,0,0,4.978980355418382,9.977300818515438
